Time,Input,2,Output
second,Volt,Volt,Volt
-6.20E-07,-1.01E-01,4.15E+00,5.00E+00
-6.19E-07,-1.01E-01,4.02E+00,4.84E+00
-6.18E-07,-1.01E-01,4.02E+00,4.84E+00
-6.16E-07,-1.01E-01,4.02E+00,4.69E+00
-6.15E-07,-1.01E-01,3.96E+00,4.84E+00
-6.14E-07,-3.80E-02,4.02E+00,4.84E+00
-6.13E-07,-3.80E-02,4.02E+00,5.00E+00
-6.11E-07,-3.80E-02,4.02E+00,4.84E+00
-6.10E-07,-1.01E-01,4.02E+00,5.16E+00
-6.09E-07,-1.01E-01,4.02E+00,5.00E+00
-6.08E-07,-3.80E-02,3.96E+00,4.84E+00
-6.06E-07,-1.63E-01,3.96E+00,5.00E+00
-6.05E-07,-1.01E-01,3.96E+00,4.84E+00
-6.04E-07,-3.80E-02,4.02E+00,4.84E+00
-6.03E-07,-1.01E-01,4.02E+00,5.00E+00
-6.01E-07,-2.26E-01,3.96E+00,4.84E+00
-6.00E-07,-1.01E-01,3.96E+00,4.84E+00
-5.99E-07,-1.63E-01,4.02E+00,4.84E+00
-5.98E-07,-1.63E-01,4.02E+00,4.69E+00
-5.96E-07,-1.01E-01,4.02E+00,4.84E+00
-5.95E-07,-1.63E-01,4.02E+00,4.84E+00
-5.94E-07,-1.63E-01,3.96E+00,4.84E+00
-5.93E-07,-1.63E-01,4.02E+00,4.84E+00
-5.91E-07,-1.01E-01,4.02E+00,4.69E+00
-5.90E-07,-1.63E-01,4.02E+00,4.69E+00
-5.89E-07,-1.63E-01,3.96E+00,4.69E+00
-5.88E-07,-2.26E-01,4.02E+00,4.53E+00
-5.87E-07,-1.63E-01,3.96E+00,4.69E+00
-5.85E-07,-1.63E-01,4.02E+00,4.53E+00
-5.84E-07,-1.63E-01,4.02E+00,4.53E+00
-5.83E-07,-2.26E-01,4.08E+00,4.38E+00
-5.82E-07,-1.63E-01,4.02E+00,4.53E+00
-5.80E-07,-1.01E-01,4.02E+00,4.38E+00
-5.79E-07,-2.26E-01,4.02E+00,4.38E+00
-5.78E-07,-1.01E-01,4.02E+00,4.38E+00
-5.77E-07,-1.63E-01,4.08E+00,4.53E+00
-5.75E-07,-1.63E-01,4.02E+00,4.38E+00
-5.74E-07,-1.01E-01,4.02E+00,4.38E+00
-5.73E-07,-3.80E-02,4.02E+00,4.22E+00
-5.72E-07,-1.63E-01,4.02E+00,4.22E+00
-5.70E-07,-3.80E-02,4.02E+00,4.22E+00
-5.69E-07,-1.01E-01,3.96E+00,4.22E+00
-5.68E-07,-1.01E-01,4.02E+00,3.91E+00
-5.67E-07,-3.80E-02,4.08E+00,4.38E+00
-5.65E-07,-3.80E-02,3.96E+00,4.06E+00
-5.64E-07,-1.01E-01,4.02E+00,4.06E+00
-5.63E-07,-1.01E-01,4.02E+00,3.91E+00
-5.62E-07,-1.01E-01,3.96E+00,3.91E+00
-5.60E-07,-1.01E-01,3.96E+00,3.75E+00
-5.59E-07,-1.01E-01,3.96E+00,3.91E+00
